Datum,Gemeinde,Ortsteil,Straße,Kategorie,Einbruchsversuch,Täter festgenommen?,ganze Polizei-Meldung
29.01.2015,Eberstadt,,Im Weidengrund 26,Kindergarten,,,"Der Kindergarten in der Eberstadter Straße ""Im Weidengrund"" war in der Nacht zum Donnerstag das Ziel eines Unbekannten. Der Täter hatte sich durch ein aufgebrochenes Fenster gewaltsam Zugang zu den Räumlichkeiten verschafft, fand jedoch im Innern offenbar nichts Stehlenswertes vor. Der angerichtete Sachschaden dürfte bei etwa 500 Euro liegen. Sachdienliche Hinweise nimmt die Polizei Weinsberg unter der Tel.Nr.: 07134 992-0 entgegen."
29.01.2015,Bretzfeld,Schwabbach,Schmalbachstraße,Firmengebäude,,,"Ein Unbekannter trieb sich in der Nacht zum Donnerstag auf einem Firmengelände in der Schmalbachstraße in Bretzfeld-Schwabbach herum. Ziel war offenbar ein Bürocontainer, der dort abgestellt war. Nachdem der Eindringling zuvor einen Lenker von einer Arbeitsmaschine abmontiert hatte, schlug er damit das Fenster des Containers ein und gelangte so ins Innere. Etwas Stehlenswertes fand er darin allerdings nicht, so dass er zwar ohne Beute, aber unter Hinterlassen eines Sachschadens in Höhe von mehreren Hundert Euro, den Tatort verließ. Wer im Tatzeitraum etwas Verdächtiges im Bereich des Schwabbacher Industriegebietes gemacht hat, sollte sich bei der Polizei Bretzfeld, Telefon 07940 940010, melden."
28.01.2015,Hardheim,,Gustav-Eirich-Straße,Firmengebäude,,,"Offensichtlich gezielt stahl ein Unbekannter am Mittwochmorgen, kurz nach 6 Uhr, in Hardheim eine Stihl-Motorsäge und verschiedene Handwerkermaschinen der Marke Bosch. Der Einbrecher schlug eine Scheibe der Eingangstüre des in der Gustav-Eirich-Straße stehenden Gebäudes eines Landtechnik-Betriebes ein und gelangte so ins Innere. Der Täter musste mehrere Male hin und her gehen, bis er seine Beute zu einem Fahrzeug gebracht hatte. Bei diesem Fahrzeug handelte es sich vermutlich um einen hellen Geländewagen der Marke Mercedes."
29.01.2015,Bad Mergentheim,,Falkenweg,,,,"Zu einem Wohnungseinbruch kam es am Donnerstagnachmittag im Bad Mergentheimer Falkenweg. Zugang verschaffte sich der bislang unbekannte Täter, indem er die Wohnungstür aufhebelte. Die Bewohner waren zu dieser Zeit nicht in der Wohnung. Nachdem der Täter nicht sofort Bargeld oder Wertgegenstände auffinden konnte, verließ er die Wohnung ohne Beute."
29.01.2015,Heilbronn,Böckingen,Im Kreuzgrund,,,,"Ein Wohnhaus ""Im Kreuzgrund"" in Heilbronn-Böckingen war am Donnerstag das Ziel eines bislang unbekannten Einbrechers. Dieser gelangte über die Terrasse auf der Gebäuderückseite an eine Eingangstüre und brach diese mit einem Werkzeug auf. In den Räumlichkeiten durchstöberte der Unbekannte die Zimmer sowie sämtliche Schränke und Schubladen nach möglichem Diebesgut. Gestohlen hat er nach bisherigen Ermittlungen nichts. Der angerichtete Sachschaden wird auf zirka 500 Euro geschätzt. Zeugen, die etwas Verdächtiges beobachtet haben oder weitere sachdienliche Hinweise geben können, sollten sich unter 07131 20406-0 mit der Böckinger Polizei in Verbindung setzen."
29.01.2015,Heilbronn,Horkheim,,Einkaufsmöglichkeit,,,"Auf einen Supermarkt in Heilbronn-Horkheim hatten es bislang unbekannte Einbrecher in der Nacht zum Donnerstag abgesehen. Nach bisherigen Erkenntnissen brachen die Täter ein Fenster auf der Gebäuderückseite des Marktes auf und gelangten so ins Innere. In einem Büro versuchten die Unbekannten einen Schranktresor herauszuziehen, was ihnen jedoch nicht gelang. Die Einbrecher durchstöberten sämtliches Inventar nach möglichem Diebesgut. Im Verkaufsraum hebelten die Unbekannten einen Automaten auf und entwendeten die Zigarettenpäckchen. Der Wert des Diebesguts wird auf mehrere tausend Euro geschätzt. Zeugen, die sachdienliche Hinweise geben können, sollten sich bei der Heilbronner Polizei unter Telefon 07131 104-2500 melden."
29.01.2015,Bad Friedrichshall,Kochendorf,Ohrnberger Straße,Schule,,,"Wegen eines Einbruchs in eine Schule sowie das Gebäude einer Kernzeitbetreuung in Bad Friedrichshall-Kochendorf ermittelt die Polizei und sucht Zeugen, die sachdienliche Hinweise geben können. Am Donnerstagabend, zwischen 18:15 Uhr und 22:30 Uhr, verschafften sich die Täter gewaltsam Zutritt in das Gebäude einer Betreuungseinrichtung in der Ohrnberger Straße. Dort durchstöberten die Langfinger sämtliches Inventar nach Diebesbeute. Nach bisherigen Erkenntnissen entwendeten die Unbekannten lediglich ein kleines Kästchen. Weitere Gegenstände wurden offenbar nicht gestohlen. Auch bei einem weiteren Einbruch in die Grundschule blieb die Beute recht gering. Nachdem die Täter eine Tür zum Lehrerzimmer aufgebrochen hatten, durchstöberten sie das Zimmer nach Wertgegenständen. Dabei rissen die Täter sämtliche Schranktüren aus dem Angeln oder brachen die verschlossenen Schubladen mit einem Werkzeug auf. Nach momentanen Erkenntnissen entwendeten die Diebe lediglich einen Beamer. Der Wert des Diebesgutes kann derzeit nicht beziffert werden. Der angerichtete Sachschaden ist jedoch beträchtlich. Zeugen mögen sich bitte bei der Neckarsulmer Polizei unter Telefon 07132 9371-0 melden."
31.01.2015,Heilbronn,,Cäcilienbrunnenstraße,,,,"Im Laufe des Samstags brachen unbekannte Täter in ein freistehendes Einfamilienhaus in der Cäcilienbrunnenstraße ein. Die Täter nutzten die Abwesenheit der Hauseigentümer aus und drangen durch Aufhebeln eines Fensters mit einem Schraubendreher in das Gebäude ein. Sämtliche Räumlichkeiten und Behältnisse wurden von den Unbekannten durchsucht. Sie konnten verschiedene Schmuckstücke erbeuten. Hinweise bitte an das Polizeirevier Heilbronn, Tel.Nr. 07131/104-2500"
02.02.2015,Neckarsulm,,Wilfenseeweg 70,,,,"Einen folgenschweren Einbruch in das Freizeitbad Aquatoll in Neckarsulm verübten Unbekannte in der Nacht zum Montag. In der Zeit zwischen 00:30 Uhr und 3:30 Uhr schlugen die Täter vermutlich mit einem Vorschlaghammer ein Fenster ein und gelangten durch dieses ins Gebäude. Dort brachen sie mehrere Türen auf, durchsuchten die Büroräume und flexten einen Tresor auf. Beim Aufflexen eines zweiten Tresors blieb es beim Versuch. Offensichtlich wussten die Einbrecher nicht, dass im Aquatoll schon so früh geputzt wird, denn sie wurden von den Reinigungskräften gestört und flüchteten durch einen Notausgang, ihr Einbruchswerkzeug ließen in der Hektik zurück. Die Beute aus dem aufgeflexten Tresor nahmen sie mit. Bei dieser handelt es sich um Bargeld in noch nicht bekannter Höhe. Im Rahmen des Einbruchs entstand erheblicher Sachschaden, dessen Höhe erst noch ermittelt werden muss. Problematisch ist, dass dabei unter anderem die zentrale Brandmeldeanlage des Spaßbades zerstört wurde. Die Stadt Neckarsulm muss das Spaßbad deshalb aus brandschutzrechtlichen Gründen vorerst geschlossen halten, bis die Anlage repariert ist. Das benachbarte Sportbad ist nicht betroffen und hat regulär geöffnet. Da die Polizei keine Hinweise auf die Täter hat, werden Zeugen, denen in der Nacht von Sonntag auf Montag, in der Zeit zwischen 23 und 3:30 Uhr, beim Aquatoll oder auf einer der Zufahrtstraßen verdächtige Personen oder Fahrzeuge aufgefallen sind, gebeten, sich mit der Kriminalpolizei Heilbronn, Telefon 07131 104-4444, in Verbindung zu setzen."
01.02.2015,Gemmingen,,Industriestraße,Firmengebäude,,,"Im Laufe des Sonntags brachen Unbekannte in den Bauhof in der Industriestraße in Gemmingen ein. Die Täter traten erst die Holzeingangstüre zum Bauhof ein und durchsuchten anschließend alle Zimmer und Schränke. Offensichtlich waren sie hungrig hungrig waren, denn sie bedienten sich an Würsten aus dem Gefrierschrank und bereiteten diese im Backofen zu. Ebenso griffen sie bei den Schokoriegeln zu. Zeugen werden gebeten, sich beim Polizeirevier Eppingen, Tel.: 07262 60950, zu melden."
31.01.2015,Heilbronn,,Gartenstraße 94,,,,"Unbekannte Täter brachen im Zeitraum von Freitag, 00:00 Uhr bis Samstag 15:15 Uhr, in ein Mehrfamilienhaus in der Gartenstraße 94 in Heilbronn ein. Sie hebelten fünf der acht Kellerabteile auf und entwendeten hierbei auch ein Mountainbike im Wert von 1.000 Euro. Ob noch weitere Gegenstände fehlen, konnte noch nicht festgestellt werden. Falls Zeugen im genanntem Zeitraum verdächtige Personen oder Fahrzeuge beobachtet haben, werden diese gebeten, sich beim Polizeirevier Heilbronn, Tel.: 07131 104 2500, zu melden."
01.02.2015,Neckargerach,,Hauptstraße,Vereinsheim,,,"Auf ein Sportheim in der Neckargeracher Hauptstraße hatte es ein bislang Unbekannter am Sonntag, vermutlich gegen 00.45 Uhr, abgesehen. Der Täter hatte eine Tür aufgewuchtet und sich so Zugang zu den Räumlichkeiten verschafft. Nach dem bisherigen Ermittlungsstand hatte es der Einbrecher auf Alkoholika abgesehen, denn er nahm mehrere Flaschen Hochprozentiges im Wert von rund 100 Euro mit. Im Zusammenhang mit dem Einbruch konnte eine Person beobachtet werden. Es handelt sich hierbei um einen Mann, etwa 45 Jahre oder älter, zirka 160 cm groß und untersetzter Figur. Die südländisch wirkende Person sprach mit Akzent, trug eine schwarze Wollmütze sowie schwarze Kleidung und führte eine Kühlplastiktasche mit sich. Sachdienliche Hinweise nimmt die Polizei Mosbach-Diedesheim unter der Tel.Nr.: 06261 6757-0 entgegen."
02.02.2015,Heilbronn,,Lenaustraße,Schule,,,In Heilbronn stiegen unbekannte Täter in einen Kindergarten in der Roseggerstraße und in eine Grundschule in der Lenaustraße ein. In der Schule wurden diverse Türen und Schränke aufgebrochen. Die Täter gelangten vermutlich über ein Fenster ins Gebäude. Auch im Kindergarten stiegen die Täter durch ein Fenster ein. In beiden Fällen blieben die Täter offensichtlich ohne Beute.
02.02.2015,Nordheim,,Breibachweg,,,,In Nordheim wurde zwischen Freitag 23:00 Uhr und Sonntag 10:00 Uhr in eine Sporthalle im Breibachweg eingebrochen. Möglicherweise liess sich der unbekannte Täter einschließen und flüchtete nach dem Einbruch über eine Fluchttüre. Diebesgut war ein Notebook im Wert von 600 Euro.
03.02.2015,Bad Wimpfen,,Ferdinandstraße,,,,"Ein Fenster brachen Unbekannte am Dienstagabend, in der Zeit zwischen 18 und 22:15 Uhr, an einem Wohnhaus in der Bad Wimpfener Ferdinandstraße auf. Durch die entstandene Öffnung gelangten die Täter ins Gebäudeinnere, wo sie verschiedene Behältnisse durchsuchten. Wahrscheinlich wurden sie von den nach Hause kommenden Bewohnern überrascht, denn sie flüchteten ohne Beute wieder durch das aufgebrochene Fenster. Die Polizei hofft, dass jemand in der tatrelevanten Zeit verdächtige Personen in der Ferdinandstraße aufgefallen sind. Hinweise gehen an die Kripo Heilbronn, Telefon 07131 104-4444."
03.02.2015,Obersulm,Willsbach,Pestalozzistraße 37,Schule,,,"Ungebetenen Besuch erhielt die Realschule in Obersulm-Willsbach am Dienstagabend. Gegen 20:30 Uhr beobachteten Badmintonspieler Rauch vor der Sporthalle und gingen nach draußen. Dort sahen sie mehrere Jugendliche auf dem Fußweg in Richtung Sulm und Sülzbacher Weg wegrennen. Die alarmierte Polizei stellte fest, dass die Unbekannten offensichtlich über eine nicht verschlossene Türe in das Schulgebäude gelangten und im Inneren drei Feuerlöscher wegnahmen. Diese leerten sie vor der Turnhalle, wo sie dann gesehen wurden. Die Feuerlöscher nahmen sie auf ihrer Flucht offensichtlich mit. Die Polizei hofft, dass die Gruppe am Dienstag, kurz nach 20.30 Uhr, aufgefallen ist und bittet Zeugen, sich beim Polizeiposten Obersulm, Telefon 07130 7077, zu melden."
02.02.2015,Künzelsau,,Oberamteistraße,,,,In leerstehendes Gebäude eingebrochen Bislang Unbekannte brachen in ein leerstehendes Gebäude in Künzelsau ein. Nach bisherigem Kenntnisstand verschafften sich die Täter zwischen Mittwoch und Montag gewaltsam Zutritt in das Anwesen in der Oberamteistraße und beschädigten im Inneren des Hauses mehrere Türen. Der Sachschaden kann derzeit nicht beziffert werden. Die Künzelsauer Polizei hat die Ermittlungen aufgenommen.
04.02.2015,Bonfeld,,Nußäckerstraße,,,,Im Laufe des Mittwochs kam es in einem Einfamilienhaus in der Nußäckerstraße in Bonfeld zu einem Einbruch. Die unbekannten Täter brachen ein Erkerfenster auf und gelangten dadurch ins Haus. Sie durchwühlten nahezu sämtliche Schränke und Kommoden. Die Täter stahlen Schmuck und verschwanden anschließend über die Terrassentür des Hauses.
04.02.2015,Hardthausen,Gochsen,Beethovenstraße,,,,"Zu einem weiteren Einbruch in ein Einfamilienhaus kam es am Mittwoch in Hardthausen-Gochsen in der Beethovenstraße. Hierbei warf der Täter einen am Haus vorgefundenen Pflasterstein in die Scheibe des Arbeitszimmers, entriegelte das Fenster und gelangte dadurch ins Haus. Mehrere Räume wurden durchsucht. Ob etwas gestohlen wurde, ist unklar."
04.02.2015,Bad Wimpfen,,Breslauerstraße,,,,Auch in Bad Wimpfen wurde im Laufe des Mittwochs in ein Einfamilienhaus in der Breslauerstraße eingebrochen. Die Täter hebelten die Terrassentür auf der Gebäuderückseite auf und gelangten so ins Haus. In der Küche fanden die Einbrecher einen Ersatzschlüssel der Haustüre und steckten diesen von innen in die Tür. Sie durchsuchten mehrere Zimmer und stahlen Bargeld. Anschließend verließen sie das Haus über die Eingangstür.
04.02.2015,Obereisesheim,,Am Dreschplatz,,,,"Desweiteren wurde in ein Haus in Obereisesheim, Am Dreschplatz, eingebrochen. Der 78-jährige Hauseigentümer befand sich von Ende Januar bis diesen Mittwoch in Urlaub und bemerkte den Einbruch als er wieder nach Hause kam. Die Täter versuchten zuerst die Terrassentür aufzuhebeln. Da dies misslang, hebelten sie das Terrassenfenster zum Wohnzimmer auf und gelangten dadurch in das Haus. Es wurden sämtliche Räume durchsucht und Kommoden ausgeräumt. Sie entwendeten lediglich wertlose Gegenstände. Die Polizei sucht Zeugen, die zu den tatrelevanten Zeiten verdächtige Personen oder Fahrzeuge an oder in der Nähe der Tatorte gesehen haben. Hinweise gehen an die Kriminalpolizei Heilbronn, Telefon 07131 104-4444."
28.01.2015,Ravenstein,Ballenberg,Florian-Geyer-Straße,,,,"Auf eine Wohnung in der Ravenstein-Ballenberger Florian-Geyer-Straße hatte es ein bislang Unbekannter bereits in der Zeit von Dienstag, 27. Januar, 11.00 Uhr bis Mittwoch, 28. Januar 2015, 20.30 Uhr, abgesehen. Der Täter verschaffte sich durch eine Tür Zutritt zu dem Gebäude und ließ bei seinem Beutezug Schmuck und Bargeld mitgehen. Personen, die während der betreffenden Tatzeit verdächtige Wahrnehmungen machen konnten oder andere sachdienliche Hinweise geben können, werden gebeten, sich unter der Tel.Nr.: 06291 64877-0 mit der Polizei Adelsheim in Verbindung zu setzen."
05.02.2015,Waldenburg,,Am Bahnhof,Firmengebäude,X,,"Mit der Bearbeitung eines Einbruchsdeliktes ist derzeit die Polizei Öhringen befasst. In der Nacht zum Donnerstag brach ein bislang Unbekannter in das Gelände einer Firma in Waldenburg, Bahnhofsiedlung, ""Am Bahnhof"" ein und legte sich zahlreiche dickere Elektrokabel zum Abtransport bereit. Möglicherweise wurde der Einbrecher bei seiner weiteren Tatausführung gestört und hatte deshalb das Gelände ohne Beute verlassen. Der angerichtete Sachschaden beläuft sich auf mehrere hundert Euro. Sachdienliche Hinweise nimmt die Polizei Öhringen unter der Tel.Nr.: 07941 930-0 entgegen."
07.02.2015,Untergruppenbach,,Siegfried-Levi-Straße,,,,"Einbruch in Einfamilienhaus Ein bislang unbekannter Täter brach in der Nacht zum Samstag, dem 07.02.2015, in ein Einfamilienhaus in der Siegfried-Levi-Straße ein, indem er ein Fenster an der Gebäuderückseite aufwuchtete. Er durchsuchte im Erd- und Obergeschoss alle Behältnisse und entwendete Schmuck und Herrenarmbanduhren im Wert von mehreren hundert Euro. Sachdienliche Hinweise nimmt das Polizeirevier Weinsberg, Telefon 07134/9920 entgegen."
07.02.2015,Brackenheim,,Hirnerweg 23,,X,,"Über eine gewaltsam aus der Verankerung gerissene Lichtkuppel auf dem Dach der Verbandssporthalle versuchte ein unbekannter Täter am Samstag, dem 07.02.2105, in der Zeit zwischen 12.30 und 18.45 Uhr, in die Sporthalle einzudringen. Aus bislang unbekannten Gründen ließ er jedoch nach dem Öffnen der Lichtkuppel von seinem weiteren Vorhaben ab und flüchtete, ohne in die Halle eingestiegen zu sein. Der Sachschaden beträgt etwa 600 Euro. Sachdienliche Hinweise nimmt das Polizeirevier Lauffen, Telefon 07133/2090, entgegen."
08.02.2015,Kupferzell,,Heinrich-Bürger-Straße,,,,"In Wohnung eingebrochen In ein Wohnhaus in der Heinrich-Bürger-Straße in Kupferzell wurde in der Nacht von Samstag, 07.02. auf Sonntag, 08.02.2015 eingebrochen. Als die Bewohner gegen 01.15 Uhr nach Hause zurückkehrten, stellten sie fest, dass ein unbekannter Täter ihre komplette Wohnung durchwühlt hatte und Bargeld, eine Playstation und ein I-Pad entwendet wurde. Der Täter warf zunächst ein Fenster zum Wohnzimmer mit einem Stein ein und kletterte ins Haus. Vermutlich auch auf diesem Weg verließ er die Wohnung nach der Tatausführung wieder. Hinweise nimmt das Polizeirevier in Künzelsau unter der Telefonnummer 07940/940-0 entgegen."
08.02.2015,Mosbach,,Heidelberger Straße 49,Einkaufsmöglichkeit,,,"Bislang unbekannte Täter verschafften sich im Zeitraum vom Samstag, dem 07.02.2015, 21.30 Uhr bis Sonntag, den 08.02.2015, 02.00 Uhr, gewaltsam Zutritt zu einer Tankstelle in der Heidelberger Straße, indem sie die Haupteingangstüre aufhebelten. Aus dem Innenraum entwendeten sie mehrere Packungen Zigaretten, die sie in ein Leintuch verpackten, welches bei der Fahndung in der näheren Umgebung des Tatortes aufgefunden werden konnte. Die Höhe des Diebesgutes und des Sachschadens ist noch nicht bekannt. Sachdienliche Hinweise nimmt das Polizeirevier Mosbach, Telefon 06261/809-0, entgegen."
08.02.2015,Bad Rappenau,,Finkenstraße,,,,"Zwei Wohnhäuser in Bad Rappenau waren am vergangenen Wochenende das Ziel bislang unbekannter Einbrecher. Über ein zuvor aufgebrochenes Fenster gelangten die Täter vermutlich am Samstagnachmittag, zwischen 14:30 Uhr und 19:30 Uhr, jeweils ins Innere der Häuser in der Finkenstraße und durchstöberten dort Schränke und andere Einrichtungsgegenstände nach möglicher Beute. Dabei fanden die Langfinger Schmuck sowie Bargeld und entwendeten dieses. Der Wert der gestohlenen Gegenstände ist derzeit nicht bekannt. An den Gebäuden hinterließen die Einbrecher einen Schaden in Höhe von jeweils mehreren hundert Euro. Zeugen, die etwas Verdächtiges beobachtet haben sowie Personen, die sachdienliche Hinweise geben können, sollten sich bei der Eppinger Polizei unter Telefon 07262 6095-0 melden."
08.02.2015,Bad Rappenau,,Finkenstraße,,,,"Zwei Wohnhäuser in Bad Rappenau waren am vergangenen Wochenende das Ziel bislang unbekannter Einbrecher. Über ein zuvor aufgebrochenes Fenster gelangten die Täter vermutlich am Samstagnachmittag, zwischen 14:30 Uhr und 19:30 Uhr, jeweils ins Innere der Häuser in der Finkenstraße und durchstöberten dort Schränke und andere Einrichtungsgegenstände nach möglicher Beute. Dabei fanden die Langfinger Schmuck sowie Bargeld und entwendeten dieses. Der Wert der gestohlenen Gegenstände ist derzeit nicht bekannt. An den Gebäuden hinterließen die Einbrecher einen Schaden in Höhe von jeweils mehreren hundert Euro. Zeugen, die etwas Verdächtiges beobachtet haben sowie Personen, die sachdienliche Hinweise geben können, sollten sich bei der Eppinger Polizei unter Telefon 07262 6095-0 melden."
09.02.2015,Walldürn,,Adolf-Kolping-Straße 16,Einkaufsmöglichkeit,X,,"Auf eine Apotheke in der Walldürner Adolf-Kolping-Straße hatte es in der Nacht zum Montag ein bislang Unbekannter abgesehen. Der Täter versuchte, die Tür gewaltsam zu öffnen, was ihm jedoch nicht gelang. Der angerichtete Sachschaden dürfte bei mehreren hundert Euro liegen. Sachdienliche Hinweise nimmt die Polizei Walldürn unter der Tel.Nr.: 06282 92666-0 entgegen."
08.02.2015,Bretzfeld,Schwabbach,Karl-Zeiss-Straße,Firmengebäude,,,"Nach einem Einbruch in eine Firma in Bretzfeld-Schwabbach hat die Polizei die Ermittlungen aufgenommen und sucht Zeugen, die am späten Sonntagabend möglicherweise etwas Verdächtiges beobachtet haben. Zwischen 21:45 Uhr und 23:45 Uhr schlugen die bislang unbekannten Einbrecher das Fenster eines Firmengebäudes in der Karl-Zeiss-Straße ein und gelangten so ins Innere des Betriebs. Nach bisherigen Erkenntnissen entwendeten die Täter aus einem Ausstellungsraum mehrere Werkzeuge und Arbeitsmaschinen der Marke Festo. Ferner fiel den Unbekannten etwas Bargeld sowie ein Kaffeevollautomat in die Hände. Ob darüber hinaus noch weitere Gegenstände gestohlen wurden, kann derzeit noch nicht gesagt werden. Personen, die verdächtige Beobachtungen gemacht haben werden gebeten, diese der Bretzfelder Polizei unter Telefon 07946 940010 mitzuteilen."
07.02.2015,Pfaffenhofen,,Brackenheimer Straße,,,,"Bislang unbekannte Täter drangen im Zeitraum von Freitag 18:00 bis Samstag 08:20 Uhr in eine Scheune in Pfaffenhofen, in der Brackenheimer Straße, ein. Hierbei entwendeten die Diebe vier neuwertige Sommerreifen, welche einen Wert von ungefähr 500 Euro haben. Weiterhin ließen die Täter die dazugehörigen Aluminiumfelgen mitgehen. Diese haben einen Wert von weiteren 600 Euro. Hinweise gehen an den Polizeiposten Güglingen unter der Telefonnummer 07135 6507."
09.02.2015,Ellhofen,,Raiffeisenstraße,,,,"In der Zeit von Sonntag 18:30 bis Montag 07:20 Uhr brachen unbekannte Täter gleich zwei Mal in Ellhofener Objekte ein. Zunächst hebelten die Einbrecher in der Raiffeisenstraße ein Oberlicht auf und gelangten so in das Kinderhaus. Dort wurden mehrere Schränke aufgebrochen. Das Diebesgut beläuft sich auf 50 Euro. Der verursachte Sachschaden wird auf 500 Euro geschätzt. Auf dem Kirchplatz, im dortigen Rathaus, wuchteten Unbekannte ein Fenster an der Gebäuderückseite auf und gelangten so in ein Büro im Erdgeschoss. Dort wurde ein fest eingebauter Tresor aus einem Schrank entwendet, dieser wurde vermutlich mittels eines Einkaufswagens aus dem Rathaus, hinter die Gemeindehalle, transportiert. Über das Diebesgut liegen bislang keine Erkenntnisse vor. Im Obergeschoss misslang das Aufbrechen der Zwischentüren. Der entstandene Sachschaden wurde bislang noch nicht beziffert. Ob ein Tatzusammenhang zwischen beiden Einbrüchen steht, kann bislang weder ein- noch ausgeräumt werden. Sachdienliche Hinweise oder Zeugen des Geschehens sollten sich mit dem Polizeirevier Weinsberg unter der Telefonnummer 07134 9920 in Verbindung setzen."
09.02.2015,Ellhofen,,Kirchplatz 1,Rathaus,,,"In der Zeit von Sonntag 18:30 bis Montag 07:20 Uhr brachen unbekannte Täter gleich zwei Mal in Ellhofener Objekte ein. Zunächst hebelten die Einbrecher in der Raiffeisenstraße ein Oberlicht auf und gelangten so in das Kinderhaus. Dort wurden mehrere Schränke aufgebrochen. Das Diebesgut beläuft sich auf 50 Euro. Der verursachte Sachschaden wird auf 500 Euro geschätzt. Auf dem Kirchplatz, im dortigen Rathaus, wuchteten Unbekannte ein Fenster an der Gebäuderückseite auf und gelangten so in ein Büro im Erdgeschoss. Dort wurde ein fest eingebauter Tresor aus einem Schrank entwendet, dieser wurde vermutlich mittels eines Einkaufswagens aus dem Rathaus, hinter die Gemeindehalle, transportiert. Über das Diebesgut liegen bislang keine Erkenntnisse vor. Im Obergeschoss misslang das Aufbrechen der Zwischentüren. Der entstandene Sachschaden wurde bislang noch nicht beziffert. Ob ein Tatzusammenhang zwischen beiden Einbrüchen steht, kann bislang weder ein- noch ausgeräumt werden. Sachdienliche Hinweise oder Zeugen des Geschehens sollten sich mit dem Polizeirevier Weinsberg unter der Telefonnummer 07134 9920 in Verbindung setzen."
10.02.2015,Untereisesheim,,Hölderlinstraße 5,Kindergarten,,,"In der Nacht von Montag 18:30 Uhr zu Dienstag 07:30 Uhr gelangten bislang unbekannte Täter in der Hölderlinstraße über eine Terrassentür in einen Kindergarten in Untereisesheim. Dort durchstöberten sie das Inventar nach möglicher Beute. Die Diebe schienen hungrig zu sein. Die Unbekannten vertilgten die Erdnüsse und verstreuten die Schalen im gesamten Kindergarten. Zeugen oder Personen, die sachdienliche Hinweise geben können, sollten sich mit dem Polizeiposten Bad Wimpfen unter der Telefonnummer 07063 93340 in Verbindung setzen."
09.02.2015,Untergruppenbach,,Siegfried-Levi-Straße,,X,,"Zu einem versuchten Einbruch in ein Einfamilienhaus kam es im Zeitraum von Samstag bis Montag in der Untergruppenbacher Siegfried-Levi-Straße. Die mutmaßlichen Täter versuchten die Eingangstüre eines Wohnhauses aufzubrechen, was jedoch misslang. An der Haustüre entstand ein Schaden in Höhe von 100 Euro. Die Polizei Untergruppenbach sucht nun Zeugen oder Personen, die sachdienliche Hinweise zum Vorfall machen können (Telefon: 07131 644630)."
09.02.2015,Ilsfeld,Auenstein,Steinhälde,,,,"Mit der Aufklärung eines Einbruchs in Ilsfeld-Auenstein sind derzeit die Beamten des Polizeipostens beschäftigt. Nach bisherigen Erkenntnissen brachen bislang unbekannte Täter, am Montagnachmittag, im Zeitraum von 15:35 bis 18:25 Uhr, das Fenster eines Wohnhauses in der Steinhälde auf und gelangten so ins Gebäude. Nach bisherigen Erkenntnissen wurde nichts gestohlen. Die Unbekannten hinterließen jedoch einen Sachschaden von mehreren hundert Euro. Hinweise nimmt der Polizeiposten Ilsfeld unter der Telefonnummer 07062 915550 entgegen."
11.02.2015,Bretzfeld,Rappach,Heidestraße,,,,"Zwei Wohnhäuser in der Rappacher Heidestraße waren am Mittwoch, in der Zeit zwischen 7:30 und 19 Uhr, das Ziel unbekannter Einbrecher. In einem Fall wurde die Terrassentüre aufgehebelt, im anderen warfen sie mit einem Pflasterstein ein Fenster ein, stellten eine Palette gegen die Hauswand und stiegen so nach oben durch das eingeschlagene Fenster ein. Nahezu alle Räume und Schränke wurden durchsucht, Kleidung teilweise herausgenommen und auf dem Boden zerstreut. Aus einem Tatobjekt wurde ein geringer Bargeldbetrag entwendet; das zweite verließen die Einbrecher nach derzeitigem Kenntnisstand ohne Beute. Die angerichteten Sachschäden dürften bei rund 2.500 Euro liegen. Die Kripo Künzelsau sucht dringend Zeugen. Wer im Laufe des Mittwochs im näheren oder weiteren Bereich der Heidestraße verdächtige Wahrnehmungen zu Personen oder Fahrzeugen gemacht hat wird gebeten, sich unter Telefon 07940 940-0 zu melden."
11.02.2015,Bretzfeld,Rappach,Heidestraße,,,,"Zwei Wohnhäuser in der Rappacher Heidestraße waren am Mittwoch, in der Zeit zwischen 7:30 und 19 Uhr, das Ziel unbekannter Einbrecher. In einem Fall wurde die Terrassentüre aufgehebelt, im anderen warfen sie mit einem Pflasterstein ein Fenster ein, stellten eine Palette gegen die Hauswand und stiegen so nach oben durch das eingeschlagene Fenster ein. Nahezu alle Räume und Schränke wurden durchsucht, Kleidung teilweise herausgenommen und auf dem Boden zerstreut. Aus einem Tatobjekt wurde ein geringer Bargeldbetrag entwendet; das zweite verließen die Einbrecher nach derzeitigem Kenntnisstand ohne Beute. Die angerichteten Sachschäden dürften bei rund 2.500 Euro liegen. Die Kripo Künzelsau sucht dringend Zeugen. Wer im Laufe des Mittwochs im näheren oder weiteren Bereich der Heidestraße verdächtige Wahrnehmungen zu Personen oder Fahrzeugen gemacht hat wird gebeten, sich unter Telefon 07940 940-0 zu melden."
