Wann?,Ort,Ortsteil,Strasse,Schaden?,Privat,Firma,Gaststätte,Sonstige,Meldung,Ortsdaten  www.gpsies.com/coordinate.do
10.11.2013,Öhringen,,Marktstraße,,,x,,,"An der Eingangstüre eines Antiquitätengeschäfts in der Marktstraße machte sich ein Unbekannter, wie erst jetzt bekannt wurde, in den vergangenen Tagen zu schaffen. Die Versuche, die Türe aufzuwuchten, scheiterten jedoch und der Täter verschwand. Zurück blieb ein nicht unerheblicher Sachschaden. Zeugen, denen zwischen dem 25.10. und dem 8.11. etwas Verdächtiges aufgefallen ist, sollten sich unter Tel. 07941/9300 bei der Öhringer Polizei melden.",
10.11.2013,Zaberfeld,,Birkenweg,,x,,,,"Bislang unbekannte Einbrecher verschafften sich am Sonntag gewaltsam Zutritt in ein Wohnhaus im Zaberfelder Birkenweg. Zwischen 18.30 Uhr und 22.45 Uhr hebelten die Unbekannten ein Fenster auf und gelangten so ins Innere des Gebäudes. Dort durchstöberten sie verschiedene Behältnisse und entwendeten aus diesen einige Wertgegenstände sowie etwas Bargeld. Vermutlich über die Terrassentüre verließen sie das Haus. Der Wert des Diebesguts kann bislang nicht geschätzt werden. Am Gebäude entstand Sachschaden in Höhe von mehreren hundert Euro. Personen, die verdächtige Wahrnehmung gemacht haben, werden gebeten sich mit der Polizei Lauffen, unter Telefon 07133/2090 in Verbindung zu setzen.",
12.11.2013,Neudenau,,Josef,,,,,Kindergarten,"Ungebetenen Besuch erhielt der katholische Kindergarten St. Josef in Neudenau-Herbolzheim in der Nacht von Montag auf Dienstag. Die Unbekannten drangen auf eine bislang nicht nachvollziehbare Weise in das Gebäude ein. Da am Montagabend im Kindergarten die Martinsfeier mit vielen Besuchern stattfand schließt die Polizei nicht aus, dass sich die Täter nach der Veranstaltung einschließen ließen. Die Diebe brachen die verschlossene Türe zum Büro des Kindergartens auf und öffneten dort gewaltsam einen Aktenschrank, aus dem sie ein Laptop stahlen. Mit ihrer Beute verließen sie das Gebäude durch die Terrassentüre, die sie von innen öffneten.",
13.11.2013,Beilstein,,Wilhelm-Hauff-Straße,,x,,,,"Offensichtlich bei seinem Vorhaben gestört wurde ein Einbrecher am Mittwoch in Beilstein. Indem er zwischen 6.45 Uhr und 21.40 Uhr ein Fenster aufhebelte, versuchte er ins Innere einer Einliegerwohnung in der Wilhelm-Hauff-Straße zu gelangen. Danach flüchtete er ohne Beute und unerkannt. Zeugen die verdächtige Wahrnehmung gemacht haben werden gebeten, diese der Ilsfelder Polizei unter Telefon 07062/915550 zu melden.",
13.11.2013,Eppingen,,Raußmühlstraße,,,x,,,"Gleich zwei Eppinger Firmen bekamen in der Nacht zum Mittwoch ungebetenen Besuch. In der Zeit zwischen 20.45 Uhr und 8 Uhr brachen die bislang unbekannten Einbrecher eine Türe am Firmengebäude in der Raußmühlstraße auf und gelangten so ins Innere. Nachdem sie eine weitere Türe gewaltsam geöffnet hatten gelangten sie in ein Büro und entwendeten daraus Bargeld in dreistelliger Höhe sowie eine Uhr. Der angerichtete Sachschaden am Gebäude dürfte schätzungsweise mehrere hundert Euro betragen. Auch in eine Firma in der Brettener Straße verschafften sich bislang Unbekannte durch das gewaltsame Öffnen eines Fensters Zutritt in die Räumlichkeiten. In einem Büro durchstöberten sie mehrere Schränke nach Wertgegenständen. Vermutlich wurden sie dabei von einem Mitarbeiter gestört, der kurz nach Mitternacht von einer Dienstfahrt zurückkam, worauf sie ohne Beute flüchteten. Eine bereits bereitgelegte Digitalkamera ließen sie ebenfalls  zurück. Ein Zusammenhang zwischen den beiden Einbrüchen ist möglich. Personen, die verdächtige Wahrnehmungen gemacht haben werden gebeten, sich mit der Eppinger Polizei unter Telefon, 07262/6095-0.",
13.11.2013,Eppingen,,Raußmühlstraße,,,x,,,"Gleich zwei Eppinger Firmen bekamen in der Nacht zum Mittwoch ungebetenen Besuch. In der Zeit zwischen 20.45 Uhr und 8 Uhr brachen die bislang unbekannten Einbrecher eine Türe am Firmengebäude in der Raußmühlstraße auf und gelangten so ins Innere. Nachdem sie eine weitere Türe gewaltsam geöffnet hatten gelangten sie in ein Büro und entwendeten daraus Bargeld in dreistelliger Höhe sowie eine Uhr. Der angerichtete Sachschaden am Gebäude dürfte schätzungsweise mehrere hundert Euro betragen. Auch in eine Firma in der Brettener Straße verschafften sich bislang Unbekannte durch das gewaltsame Öffnen eines Fensters Zutritt in die Räumlichkeiten. In einem Büro durchstöberten sie mehrere Schränke nach Wertgegenständen. Vermutlich wurden sie dabei von einem Mitarbeiter gestört, der kurz nach Mitternacht von einer Dienstfahrt zurückkam, worauf sie ohne Beute flüchteten. Eine bereits bereitgelegte Digitalkamera ließen sie ebenfalls  zurück. Ein Zusammenhang zwischen den beiden Einbrüchen ist möglich. Personen, die verdächtige Wahrnehmungen gemacht haben werden gebeten, sich mit der Eppinger Polizei unter Telefon, 07262/6095-0.",
13.11.2013,Öhringen,,Poststraße,,,x,,,"In eine Massagepraxis in der Poststraße versuchte ein Unbekannter in der Nacht zum Mittwoch einzubrechen. Der Täter machte sich an der Eingangstüre zu schaffen, scheiterte jedoch an der massiven Türe, so dass er wieder das Weite suchte. Zurück blieb ein Schaden von gut 200 Euro. Sachdienliche Hinweise zu dem gescheiterten Einbrecher nimmt das Polizeirevier unter Tel. 07941/9300 entgegen.",
15.11.2013,Neckarsulm,,Thüringer Straße,,x,,,,"Am Freitag, 15.11.2013, im Zeitraum von 08.00 bis 17.45 Uhr, wurde in Neckarsulm in der Thüringer Straße in ein Einfamilienhaus eingebrochen. Durch das Aufbrechen einer Zugangstüre im Terrassenbereich gelangte der Einbrecher in das Hausinnere, in dem mehrere Zimmer durchsucht wurden. Einige Wertgegenstände wurden entwendet. Personen, die im Bereich der Thüringer Straße oder dem angrenzenden Wohngebiet Verdächtiges wahrgenommen haben, werden gebeten, sich telefonisch unter der Rufnummer 07132/93710 mit dem Polizeirevier Neckarsulm in Verbindung zu setzten.",
15.11.2013,Öhringen,,Marktstraße,,x,,,,"In der Zeit von Sonntag 10.11.2013 bis Freitag 15.11.2013 versuchte ein unbekannter Täter in der Marktstraße in ein Haushaltsauflösungsgeschäft einzubrechen. Der Täter versuchte die Hintereingangstüre zur Wintergasse hin aufzuhebeln, was jedoch misslang. Bereits eine Woche zuvor wurde erfolglos versucht, die Eingangstüre aufzuhebeln. Zeugen, die sachdienliche Hinweise geben können, werden gebeten sich beim Polizeirevier Öhringen unter der Telefonnummer 07941/9300 zu melden.",
17.11.2013,Brackenheim,,Siedlungsweg,,x,,,,"Von 15:00 bis 20:30 Uhr waren die Bewohner eines Einfamilienhauses im Meimsheimer Siedlungsweg am vergangenen Sonntag nicht zu Hause. In dieser Zeit hebelten Unbekannte ein Fenster an dem Gebäude auf und gelangten offensichtlich durch dieses ins Innere. Dort durchsuchten sie Schubladen und ließen etwas Bargeld und Schmuck mitgehen. Vermutlich verließen sie das Gebäude durch die Haustüre, denn diese stand bei der Rückkehr der Familie einen Spalt offen.",
17.11.2013,Mainhardt,,Im Seetal,,,,x,,Ein bislang unbekannter Täter brach in der Nacht zum Sonntag in einen Imbiss ‚Im Seetal‘ ein. Zunächst versuchte er die Terrassentüre aufzuhebeln. Als dies nicht gelang schlug er die Scheibe ein. Er durchsuchte den Thekenbereich und entwendete aus einer Kasse Bargeld. Aus dem Kühlschrank nahm er noch einige Dosen eines Energy-Drinks mit. Durch den Einbruch entstand ein Schaden von 1500 Euro. Ein Nachbar machte am Samstag gegen 23.45 Uhr in unmittelbarer Nähe des Imbiss eine verdächtige Wahrnehmung. Auf dem Gerüst eines Hauses hielt sich eine Person auf. Dieser versuchte offensichtlich in das Gebäude einzusteigen. Der Unbekannte flüchtete.,
17.11.2013,Obersontheim,,Ebbachweg,,x,,,,"In einem Mehrfamilienhaus im Ebbachweg, versuchte am Sonntag in der Zeit zwischen 14 Uhr und 18.30 Uhr ein Unbekannter eine Wohnung aufzubrechen. Die Eingangstüre hielt jedoch dem Aufbruchsversuch stand. An der Türe entstand ein Schaden von 300 Euro.",
17.11.2013,Öhringen,,Kelterweg,,x,,,,"In ein zurzeit nur sporadisch bewohntes Haus im Kelterweg drang ein Unbekannter in der Nacht zum Sonntag ein. Anschließend durchsuchte er sämtliche Räume und entwendete eine vorgefundene Geldkassette. In dieser befanden sich aber lediglich persönliche Gegenstände des Geschädigten, so dass der Einbrecher die Kassette auf den Kompost des Nachbargrundstücks warf und verschwand. Mögliche Zeugen sollten sich unter Tel. 07941/9300 bei der Polizei melden.",
18.11.2013,Möckmühl,,Boschstraße,,,,x,,"Ganz offensichtlich nur auf den Spielautomat hatten es Unbekannte abgesehen, die in der Nacht zum Montag in eine Gaststätte in Möckmühl eingebrochen haben. Vermutlich handelte es sich bei den Einbrechern um dieselben Täter, die sich bereits in der Nacht vom 30. auf 31. Oktober gewaltsam Zutritt zu dem Lokal in der Boschstraße verschafften. Auch damals brachen sie den Spielautomat auf und stahlen aus diesem das Bargeld. Sonst interessierte sie im Raum nichts. Die Polizei hofft, dass jemand im Möckmühler Gewerbegebiet Waagener Tal in der Nacht zum 31. Oktober oder zum 18. November verdächtige Personen oder Fahrzeuge beobachtet hat. Zeugen werden gebeten, sich mit dem Polizeiposten Möckmühl, Telefon 06298 92000, in Verbindung zu setzen.",
18.11.2013,Neuenstein,,Hinteren Straße,,x,,,,"An der Eingangstüre einer Wohnung im ersten Oberschoss eines Hauses in der Hinteren Straße machte sich ein Unbekannter zwischen dem 18.11. und dem 22.11. zu schaffen. Seine Versuche, die Türe gewaltsam zu öffnen, scheiterten jedoch. Zurück blieb ein Schaden von gut 200 Euro. Mögliche Zeugen sollten sich unter Tel. 07941/9300 bei der Öhringer Polizei melden.",
19.11.2013,Krautheim,,Goethestraße,,x,,,,"Schöntal / Krautheim  Die Abwesenheit der Hausbesitzer nutzten Einbrecher am Dienstag in Bieringen und Klepsau. In der Bieringer Goethestraße drangen die Täter zwischen 6.45 und 12.30 Uhr über ein rückwärtiges Fenster in das Gebäude ein und durchsuchten sämtliche Räume, wobei sie recht brachial ans Werk gingen. Auf ihrer Suche fiel ihnen lediglich eine Damenuhr in die Hände, mit der sie sich aus dem Staub machten. Vermutlich dieselben Täter waren dann auch noch in der Klepsauer Frankenstraße am Werk. Bei ihrer Rückkehr kurz vor 17 Uhr entdeckten die Geschädigten die angerichtete Bescherung. Wiederum waren die Einbrecher über ein rückwärtiges Fenster eingestiegen und recht brachial vorgegangen. Sie entwendeten einen vorgefundenen kleineren Geldbetrag sowie diverse Schmuckstücke. Der hinterlassene Sachschaden übersteigt bei beiden Einbrüchen den Wert der Beute deutlich. In Bieringen war am Morgen ein silberner Kombi mit auswärtigen Kennzeichen und mehreren südländisch aussehenden Personen aufgefallen. Sachdienliche Hinweise zu den Einbrüchen nimmt der Polizeiposten Krautheim unter Tel. 06294/234 entgegen.",
19.11.2013,Löwenstein,,Wohnhaus,,x,,,,"Bei einem Einbruch in ein Wohnhaus in Löwenstein-Hirrweiler, „Erlenäcker“, erbeutete ein bislang unbekannter Täter am Dienstag in der Zeit von 15.15 Uhr bis 17.00 Uhr mehrere Schmuckstücke von beträchtlichem Wert. Der Unbekannte hatte zuvor die Glasscheibe einer Tür eingeschlagen und konnte so in das Gebäudeinnere gelangen. Der angerichtete Sachschaden dürfte sich auf rund 1.000 Euro belaufen. Sachdienliche Hinweise nimmt die Polizei Weinsberg unter der Tel.Nr.: 07134/9920 entgegen.",
19.11.2013,Schöntal,,Goethestraße,,x,,,,"Schöntal / Krautheim  Die Abwesenheit der Hausbesitzer nutzten Einbrecher am Dienstag in Bieringen und Klepsau. In der Bieringer Goethestraße drangen die Täter zwischen 6.45 und 12.30 Uhr über ein rückwärtiges Fenster in das Gebäude ein und durchsuchten sämtliche Räume, wobei sie recht brachial ans Werk gingen. Auf ihrer Suche fiel ihnen lediglich eine Damenuhr in die Hände, mit der sie sich aus dem Staub machten. Vermutlich dieselben Täter waren dann auch noch in der Klepsauer Frankenstraße am Werk. Bei ihrer Rückkehr kurz vor 17 Uhr entdeckten die Geschädigten die angerichtete Bescherung. Wiederum waren die Einbrecher über ein rückwärtiges Fenster eingestiegen und recht brachial vorgegangen. Sie entwendeten einen vorgefundenen kleineren Geldbetrag sowie diverse Schmuckstücke. Der hinterlassene Sachschaden übersteigt bei beiden Einbrüchen den Wert der Beute deutlich. In Bieringen war am Morgen ein silberner Kombi mit auswärtigen Kennzeichen und mehreren südländisch aussehenden Personen aufgefallen. Sachdienliche Hinweise zu den Einbrüchen nimmt der Polizeiposten Krautheim unter Tel. 06294/234 entgegen.",
22.11.2013,Erlenbach,,Am Hafenmarkt,,,,,Kleintierzuchtanlage,"In die Erlenbacher Kleintierzuchtanlage, die Am Hafenmarkt liegt, brachen Unbekannte in der Nacht zum Donnerstag ein. Die Täter überstiegen das Eisentor, drückten ein Fenster ein und stiegen durch dieses in das Gebäude. Von dort ließen sie einen blauen, 60X30X30 Zentimeter großen Brutkasten mitgehen. Außerdem stahlen sie einen Bosch-AkkuSchrauber mit Koffer.",
22.11.2013,Bad Friedrichshall,Jagstfeld,Hohe Straße,,,,,Schule,Ein bislang unbekannter Täter warf in der Nacht zum vergangenen Freitag mit einem Stein eine Fensterscheibe zum Sekretariat der Grundschule in der Hohe Straße ein und verschaffte sich so Zutritt ins Schulgebäude.  In mehreren Büros  wurden sämtliche Schränke durchwühlt und darüber hinaus im Lehrerzimmer einige Schrankfächer aufgebrochen. Dem Täter fielen neben einem geringen Geldbetrag eine Digitalkamera  und eine Kaffemaschine  im Gesamtwert von etwa 400 EURO in die Hände. Der angerichtete Sachschaden beläuft sich dagegen auf etwa 1.000 EURO.,
22.11.2013,Eppingen,,Pestalozziweg,,x,,,,Ein bislang unbekannter Täter brach am gestrigen Freitag gegen 18.00 Uhr ein Fenster im Erdgeschoß eines Wohnhauses im Pestalozziweg auf und verschaffte sich so Zutritt in die Wohnung. Der Täter durchsuchte diverse Schränke und Schubladen. Soweit bislang bekannt wurde nichts entwendet. Der entstandene Sachschaden beläuft sich auf etwa 200 EURO.,
