Datum,Gemeinde,Ortsteil,Straße,Kategorie,Einbruchsversuch,Täter festgenommen?,ganze Polizei-Meldung
10.12.2014,Heilbronn,Sontheim,Ernst-Wecker-Straße,,,,Auf ein Einfamilienhaus in der Ernst-Wecker-Straße in Sontheim hatte es ein bislang unbekannter Täter am Mittwoch zwischen 14:00 Uhr und 20:00 Uhr abgesehen. Der Täter versuchte zunächst die Terrassentüre aufzuhebeln. Da ihm dies nicht gelang verschaffte er sich anschließend über ein Doppelfenster an der Gebäuderückseite Zugang. Im Wohnhaus durchsuchte er sämtliche Schränke und Schubladen. Entwendet wurden diverse Schmuckstücke und Bargeld. Es entstand ein Sachschaden von zirka 500 Euro.
10.12.2014,Offenau,,Hauptstraße,,,,"Auf zirka 150 Euro dürfte sich der Sachschaden belaufen, welcher ein bisher unbekannter Täter im Zeitraum zwischen 11:15 Uhr und 19:45 Uhr bei einem Einbruch in Offenau in der Hauptstraße anrichtete. Der Täter schlug das Kellerfenster ein und verschaffte sich hierdurch Zugang zum Wohnhaus. Anschließend durchsuchte der Täter die Räumlichkeiten und öffneten mehrere Schränke. Ob etwas gestohlen wurde ist bislang unbekannt."
10.12.2014,Neckarsulm,,Am Mühlrain,,,,"Einen weiteren Einbruch gab es in Neckarsulm am Mühlrain. Hier war der Einbrecher in der Zeit zwischen Dienstag 17:00 Uhr und Mittwoch 18:25 Uhr unterwegs. Bei einer Doppelhaushälfte verschaffte er sich über die rückwärtige Terrasse Zugang zu einem Wintergarten. Den heruntergelassenen Rollladen schlug der Täter aus der Führung und schlug anschließend die Türverglasung ein. Durch das Loch in der Türe griff er ins Innere und öffnete durch den steckenden Schlüssel die Schiebetüre. Der Täter durchsuchte augenscheinlich alle Räume. Was abhandengekommen ist, kann noch nicht genau gesagt werden."
10.12.2014,Heilbronn,Böckingen,Bruchsaler Straße 2,Einkaufsmöglichkeit,,,"Keine Beute machten Unbekannte, die in der Nacht zum Mittwoch in eine Bäckerei in Heilbronn-Böckingen einbrachen. Die Täter gelangten auf eine noch nicht bekannte Weise in das Geschäft in der Bruchsaler Straße. Da schon mehrmals Einbrecher in den Laden eindrangen, ließen die Besitzer einfach die leeren Kassen offen. Dies brachte die Langfinger in diesem Fall dazu, das Gebäude ohne weitere Bemühungen wieder zu verlassen."
10.12.2014,Eppingen,,Brettener Straße 68,Einkaufsmöglichkeit,,,"Zigaretten in unbekannter Menge waren die Beute von Einbrechern, die in der Nacht zum Mittwoch in eine Tankstelle in der Brettener Straße in Eppingen einstiegen. Wahrscheinlich zwei Täter öffneten gewaltsam die Eingangstüre und packten insbesondere Zigaretten der Marken Marlboro und L&M ein. Der Einbruch wurde um 5.30 Uhr entdeckt. Da die Täter mit Tageszeitungen die Schiebetüren blockierten, konnte nachvollzogen werden, dass der Einbruch höchstens eine Stunde zuvor stattfand. Die Tageszeitungen werden um 4.30 Uhr angeliefert. Deshalb bittet die Polizei Zeugen, die am Mittwochmorgen im Zeitraum zwischen 4.30 und 5.30 Uhr in der Brettener Straße verdächtige Personen oder ein Fahrzeug beobachtet haben, sich mit dem Revier in Eppingen, Telefon 07262 60950, in Verbindung zu setzen."
10.12.2014,Heilbronn,Böckingen,Münzerstraße,,,X,"So wünscht es sich die Polizei! In der Nacht zum Mittwoch meldete ein Anwohner, dass in der Münzerstraße in Heilbronn-Böckingen ein Unbekannter gerade durch ein Fenster in ein Wohnhaus klettere. Schon nach drei Minuten war die erste Streife vor Ort. Als die nächsten Polizeikräfte eintrafen kam ein 38-Jähriger aus dem Haus und konnte festgenommen werden. Offensichtlich hatte der Einbruch allerdings einen privaten Hintergrund und der polizeibekannte Heilbronner konnte nicht mit weiteren Wohnungseinbrüchen in Verbindung gebracht werden."
11.10.2014,Öhringen,,Austraße,Arztpraxis,,,"Einbrecher verschafften sich vermutlich im Laufe des Samstags gewaltsam Zutritt in die Räume einer Öhringer Physiotherapiepraxis in der Austraße. Sie gelangten über das Rückgebäude durch ein zuvor aufgehebeltes Fenster in die Praxisräume und von dort in den Empfangsbereich. Nachdem sie dort einen verschlossenen Schrank mit Gewalt geöffnet hatten, erbeuteten sie eine Geldkassette mit einem Bargeldbetrag. Hinweise zu dem Einbruch nimmt das Polizeirevier in Öhringen unter Telefon 07941 9300, entgegen."
11.10.2014,Bad Wimpfen,,Servianstraße,,,,"Unbekannte drangen in der Zeit von Freitag, 10.10., 16.00 Uhr bis Samstag 11.10.2014, 19.00 Uhr über den Balkon in ein Einfamilienhaus in der Servianstraße ein. Sie durchsuchten jedes Zimmer nach Wertgegenständen. Sämtliche Schranktüren und Schubladen wurden geöffnet. Entwendet wurden insbesondere diverse hochwertige Schmuckgegenstände, Uhren, Kameras und Bargeld. Der Gesamtwert des entwendeten Gutes dürfte sich nach ersten Schätzungen auf mehrere tausend Euro belaufen. Ein kleiner an der Wand befestigter Safe wurde mit im Haus vorhandenem Werkzeug versucht aufzubrechen oder von der Wandhalterung zu reißen. Dies gelang jedoch nicht. Er konnte von den Tätern nicht geöffnet werden."
11.11.2014,Leingarten,Großgartach,Theodor-Heuss-Straße,,,,"Schmuck in noch nicht festgestelltem Wert ließen Unbekannte bei einem Einbruch in der Zeit zwischen dem 6. und 11. November mitgehen. Die Einbrecher hebelten ein Fenster eines Wohnhauses in der Großgartacher Theodor-Heuss-Straße auf und stiegen durch dieses ins Gebäude ein. Im Inneren durchsuchten sie sämtliche Schränke und Kommoden im Arbeits- und im Schlafzimmer. Hinweise auf die Täter hat die Polizei keine, hofft aber, dass jemand verdächtige Personen in der Theodor-Heuss-Straße gesehen hat und sich bei der Kripo Heilbronn, Telefon 07131 104-4444, meldet."
11.11.2014,Leingarten,,Theodor-Heuss-Straße,,,,"Ein Fenster brachen Unbekannte in der Zeit zwischen Donnerstag, 6. November und dem vergangenen Dienstag an einem Wohnhaus in der Großgartacher Theodor-Heuss-Straße auf. Durch dieses gelangten sie in das Innere des Gebäudes. Dort durchwühlten sie Schränke und Kommoden. Die Täter ließen Schmuck mit noch nicht bekanntem Wert mitgehen."
11.11.2014,Bretzfeld,Adolzfurt,Unterheimbacher Straße 30,Einkaufsmöglichkeit,,,In ein Frisörgeschäft in Bretzfeld-Adolzfurt brachen Unbekannte in der Nacht zum Dienstag ein. Die Täter hebelten die Eingangstüre des Geschäfts in der Unterheimbacher auf und stahlen aus der Kasse eine geringe Menge Bargeld. Der Schaden an der aufgebrochenen Türe ist deutlich höher und wird auf über 200 Euro geschätzt.
11.11.2014,Bretzfeld,Adolzfurt,,,,,"Es ist wahrscheinlich, dass dieselben Täter, die in das Frisörgeschäft einbrachen, in dieser Nacht in das Kellereigebäude eines benachbarten Weingutes eindrangen. Sie hebelten ein Rolltor auf und gelangten so über Zwischentüren bis ins Obergeschoß des Gebäudes. Sogar die Türe zum Putzlager wurde aufgewuchtet und das Vorhängeschloss einer so genannten Obstkasse an der Straße wurde geknackt. An das in der Kasse befindliche Geld gelangten die Langfinger allerdings nicht. Sie verließen das Weingut ohne Beute, hinterließen allerdings beträchtlichen Sachschaden."
11.12.2014,Kupferzell,,,,,,"In ein Gartenhaus ist ein Unbekannter in der Nacht zum Donnerstag in Kupferzell eingedrungen. Der Einbrecher verschaffte sich im Zeitraum zwischen Mittwoch, 17.30 Uhr und Donnerstag, 13 Uhr, Zugang zu der unterhalb der ehemaligen Bahnüberführung in der Gartenanlage Krautgärten gelegenen Hütte und räumte das Inventar ins Freie. Offensichtlich hatte er das Ziel, in dem Häuschen zu übernachten. Ob er bei seinem Vorhaben gestört wurde ist nicht bekannt. Die Polizei fand bei der Anzeigenaufnahme Kleidung vor, die vom Täter stammen musste und nahm die Ermittlungen auf. Nur wenige Stunden später musste die Feuerwehr mit drei Fahrzeugen und 20 Mann zu dem Schrebergarten ausrücken. Es stellte sich heraus, dass das Gartenhäuschen in Brand gesteckt worden und dabei völlig ausbrannte. Unter Umständen wollte der Täter Spuren verwischen. Wer im Tatzeitraum etwas Verdächtiges bemerkt hat sollte sich bei der Polizei in Künzelsau, Telefon 07940 9400, melden."
11.12.2014,Lauffen,,Karlstraße,,,,In der Nacht von Mittwoch auf Donnerstag stieg ein bislang noch unbekannter Täter in der Lauffener Karlstraße über das Küchenfenster in ein Wohnhaus ein. Er durchwühlte sämtliche Schränke und Schubläden. Es entstand Schaden in bislang unbekannter Höhe.
11.12.2014,Bad Rappenau,,Blumenstraße,,,,In der Nacht von Mittwoch auf Donnerstag gelangte ein Täter in ein Mehrfamilienhaus in der Bad Rappenauer Blumenstraße. Er beschädigte an einer Ferienwohnung den Schließzylinder und konnte diese betreten. Auf der Suche nach stehlenswertem Diebesgut durchwühlte er alle Schränke. Nähere Angaben zur Schadenshöhe sind derzeit noch nicht möglich.
11.12.2014,Heilbronn,,Herbert-Hoover-Straße,,,,In den frühen Abendstunden des Donnerstags gelangten vermutlich mehrere Einbrecher über den Balkon in ein Wohnhaus in der Heilbronner Herbert-Hoover-Straße und durchsuchten sämtliche Zimmer. Es entstand Sachschaden in Höhe von mehreren hundert Euro.
11.12.2014,Eppingen,,,Einkaufsmöglichkeit,,,In ein Eppinger Spielcasino brachen in den frühen Stunden des Freitagvormittags ein oder mehrere bislang unbekannte Täter ein und gelangten so an das dort in einer Kasse eingelagerte Bargeld. Es entstand ein Gesamtschaden im vierstelligen Bereich.
11.12.2014,Heilbronn,,Lichtenbergerstraße,Firmengebäude,,,"In der Nacht von Mittwoch auf Donnerstag stiegen ein oder mehrere Täter bei einer Firma in der Heilbronner Lichtenbergerstraße ein, hatten allerdings nach dem derzeitigem Stand der Ermittlungen nur geringen Erfolg. Der beim Einbruch verursachte Sachschaden übersteigt den Wert des Stehlgutes um ein Vielfaches. Zeugenhinweise in allen Fällen nimmt das jeweils örtlich zuständige Polizeirevier entgegen."
11.12.2014,Eppingen,Richen,Ittlinger Straße,Gaststätte,,,"Zwei bislang noch unbekannte Täter brachen am frühen Donnerstagmorgen ein Erdgeschoßfenster einer Gaststätte in der Ittlinger Straße in Eppingen-Richen ein. Sie wuchteten mehrere Spielautomaten und Kassen auf und entnahmen das Bargeld. Es entstand Diebes- und Sachschaden im Wert von mehreren tausend Euro. Anhand einer Überwachungsanlage konnte die Polizei feststellen, dass sich die Täter über einen längeren Zeitraum in der Gaststätte aufgehalten hatten, das Gebäude sogar verließen und wieder zurückkamen, weil sie beim ersten Mal die Theke nicht durchsucht hatten. Das Ganze erstreckte sich über den Zeitraum von 5 bis 6 Uhr. Die Eppinger Polizei schließt nicht aus, dass den zahlreichen Passanten oder Anwohnern etwas aufgefallen sein könnte, den Beobachtungen aber zunächst keine Bedeutung beimaßen. Die Polizei bittet mögliche Hinweisgeber, sich dringend unter der Nummer 07262/6095-0, beim Polizeirevier Eppingen zu melden."
12.10.2014,Lauffen,,Gewann Brühl,,,,"In eine Hütte eines Gartengrundstücks im Lauffener Gewann Brühl brachen Unbekannte in der Zeit zwischen 6. und 12. Oktober ein. Zunächst zwickten die Täter mit einem unbekannten Werkzeug ein Loch in den Maschendrahtzaun des Gartens. Danach gingen sie in eine nicht verschlossene Holzhütte und entwendeten einen Seitenschneider sowie eine 50 Zentimeter lange Machete. Die auf dem Grundstück stehende Blechhütte war mit einem Vorhängeschloss gesichert. Dieses Schloss hing in zwei Löchern des Türgriffs aus Plastik. Vermutlich mit einem Feuerzeug schmolzen die Einbrecher den Griff, so dass sie das Schloss aushängen konnten. Der Lohn für die Arbeit war allerdings gering, sie fanden lediglich eine Weinflasche, die nur noch zu einem Drittel gefüllt war. Hinweise auf die Täter hat die Polizei keine."
12.11.2014,Heilbronn,Sontheim,Keltenstraße,,,,"Zu einem typischen Tageswohnungseinbruch wurde die Polizei am Mittwoch in die Keltenstraße in Heilbronn-Sontheim gerufen. In der Zeit zwischen 16.30 und 19.30 Uhr gelangten die Einbrecher offensichtlich vom Gemeindeverbindungsweg zwischen Horkheim und Sontheim durch eine Hecke auf das Grundstück des von ihnen ausgesuchten Gebäudes. Nachdem sie die Terrassentüre aufgewuchtet hatten gelangten sie ins Innere des Hauses, wo sie alles durchsuchten. Mit einer noch nicht genau bekannten Summe Bargeld, etwas Schmuck, einem Smartphone und zwei Tankkarten verschwanden die Langfinger offensichtlich wieder durch die Terrassentüre. Zeugen, die am Mittwochnachmittag verdächtige Personen auf dem Verbindungsweg oder in der Keltenstraße gesehen haben werden gebeten, sich mit der Kriminalpolizei Heilbronn, Telefon 07131 104-4444, in Verbindung zu setzen."
13.10.2014,Bad Rappenau,Bonfeld,Fürfelder Straße,Einkaufsmöglichkeit,,,"Ein Frisörsalon in Bad Rappenau-Bonfeld war in der Nacht auf Montag das Ziel bislang unbekannter Einbrecher. Um in das Gebäude in der Fürfelder Straße zu gelangen, warfen die Täter ein Fenster ein. In den Räumlichkeiten durchstöberten sie das Inventar nach möglichem Diebesgut. Dabei fielen ihnen etwas Bargeld, ein Diktiergerät, ein Notebook sowie ein iPad in die Hände. Der angerichtete Schaden wird auf mehrere hundert Euro geschätzt. Zeugen, die sachdienliche Hinweise geben können, werden gebeten, sich mit der Polizei unter Telefon 07264 9590-0 in Verbindung zu setzen."
13.10.2014,Eppingen,Richen,Römerstraße,Firmengebäude,,,"Diebstahl- und Sachschaden in bislang unbekannter Höhe verursachten unbekannte Täter am Wochenende zwischen Samstag, 12:00 Uhr, und Montag, 07:00 Uhr, bei einem Einbruch in ein Firmengebäude in der Römerstraße in Eppingen-Richen. Hierzu schlugen sie ein Fenster im Erdgeschoss ein. Im Inneren brachen sie mehrere Türen, Schränke und einen Tresor auf und entwendeten Bargeld in noch unbekannter Höhe. Ob weitere Gegenstände mittgenommen wurden, ist noch nicht bekannt. Zeugen, die sachdienliche Hinweise machen können, sollten sich bei der Polizei Eppingen unter der Tel.-Nr.: 07262 6095-0 melden."
13.10.2014,Heilbronn,,Am Wollhaus,Firmengebäude,,,"Schäden in ebenfalls noch nicht bekanntem Ausmaß hinterließen Unbekannte bei einem Einbruch in Heilbronn am Wochenende zwischen Freitag, 13:00 Uhr, und Montag, 07:00 Uhr. Hier wurde die Eingangstür eines Baubüros am Wollhaus aufgebrochen. Die Täter entwendeten unter anderem ein Laptop sowie diverses Werkzeug. Die Höhe des Diebesguts sowie der Sachschäden lässt sich noch nicht abschätzen. Zeugen, die etwas zur Tat sagen können, sollten sich bei der Polizei Heilbronn unter der Tel.-Nr.: 07131 104-2500 melden."
13.11.2014,Bad Rappenau,,Raiffeisenstraße,Supermarkt,X,,"Umsonst war der Versuch Unbekannter in der Nacht zum Donnerstag in einen Einkaufsmarkt in der Bad Rappenauer Raiffeisenstraße einzudringen. Die Täter wollten über eine Eingangstür am Rückgebäude in den Markt einbrechen. Dies gelang ihnen jedoch nicht, so dass lediglich Sachschaden entstand. Wer gegen 1:45 Uhr etwas Verdächtiges im Bereich des Supermarktes gemacht hat, sollte sich beim Polizeiposten Bad Rappenau, Telefon 07264 95900, melden."
13.11.2014,Heilbronn,Frankenbach,Siedlungsstraße,,,,"Zwischen 17 und 19.15 Uhr stiegen am Donnerstag Unbekannte in der Frankenbacher Siedlungsstraße in ein Wohnhaus ein. Die Einbrecher wuchteten ein Fenster auf und gelangten durch dieses ins Gebäudeinnere. Offensichtlich ließen die Täter dann sogar die Jalousie herunter, um nicht von außen gesehen zu werden. Anschließend durchwühlten sie nahezu alle Schränke und Kommoden. Seltsamerweise ließen die Täter Bargeld und teure elektronische Geräte liegen und stahlen nur eine Münzsammlung, deren Wert noch nicht bekannt ist. Hinweise auf die Täter gibt es keine, weshalb die Polizei hofft, dass jemand verdächtige Personen oder Fahrzeuge im Bereich der Siedlungsstraße gesehen hat. Hinweise gehen an das Polizeirevier Heilbronn-Böckingen, Telefon 07131 204060."
13.11.2014,Neudenau,Herbolzheim,Brunnensteige,,,,"Über einen Fußweg am Nachbargebäude gelangten Unbekannte am Donnerstag, in der Zeit zwischen 16 und 20.15 Uhr, auf die Terrasse eines Wohnhauses in der Herbolzheimer Brunnensteige. Dort wuchteten sie ein Fenster auf und kletterten ins Innere. Nachdem alles durchwühlt worden war stahlen die Einbrecher einen Samsung-Flachbildfernseher und einen SAT-Receiver. Außerdem ließen sie seltsamerweise mehrere Handtücher mitgehen. Verlassen hatten die Täter das Gebäude dann offensichtlich durch ein Kellerfenster."
13.12.2014,Neuenstadt am Kocher,,Hofgartenstraße ,,,,"Als besonders ärgerlich stellte sich ein Einbruch in der Zeit von Freitag bis Samstag in Neuenstadt am Kocher heraus. Dort trieb ein Einbrecher sein Unwesen und verschaffte sich Zugang zu einer noch unbezogenen Wohnung in der Hofgartenstraße. Der Täter baute fachgerecht sämtliche, neu angebrachten Sanitäranlagen sowie Schalter und Steckdosen aus. Nicht genug, entwendete er noch eine nagelneue Cerankochplatte und ein Spülbecken. Der Wert des neuwertigen Diebesgutes dürfte sich auf mehrere tausend Euro belaufen. Sachschaden verursachte der Unbekannte durch den Einbruch nicht. Sachdienliche Zeugenhinweise nimmt die Neuenstadter Polizei unter Telefon 07139 4710-0 entgegen."
13.12.2014,Gundelsheim,,Heilbronner Straße ,Firmengebäude,,,"Einbruch Auf ein Großraumbüro in der Gundelsheimer Heilbronner Straße hatte es am Samstag, vermutlich gegen 00.30 Uhr, ein bislang Unbekannter abgesehen. Der Täter hatte sich durch ein Fenster gewaltsam Zugang zu dem Gebäude verschafft und in dessen Innern mehrere Behältnisse durchwühlt. Nach den bisherigen Erkenntnissen wurde nichts gestohlen. Die Höhe des angerichteten Sachschadens steht derzeit noch nicht fest. Personen, die während der Tatzeit im Bereich der Heilbronner Straße verdächtige Beobachtungen machen konnten, werden gebeten, sich unter der Tel.Nr.: 07132 9371-0 mit der Neckarsulmer Polizei in Verbindung zu setzen."
13.12.2014,Nordheim,,Hauptstraße,Gaststätte,,,"Spielautomaten in Gaststätte aufgebrochen Bereits in der Nacht zum Samstag, 13.12.2014, stiegen bisher unbekannte Täter durch aufhebeln eines Fensters in eine Gaststätte in der Hauptstraße in Nordheim ein. Drinnen wurden Spielautomaten aufgewuchtet und Geldkassetten entnommen. Wieviel Münzgeld weggekommen ist, weiß man nicht. Der angerichtete Sachschaden beträgt etwa 300 Euro."
